cluster,keyword,searches,competition,comp_index,low_bid_uah,high_bid_uah
ecom,хорошоп,8100,MEDIUM,38,16.6,79.7
types,лендінг,2400,MEDIUM,35,9.9,45.3
types,лендінги,2400,MEDIUM,35,9.9,45.3
ecom,opencart,1600,MEDIUM,44,14.1,58.2
core-web,створити сайт,1300,HIGH,75,23.7,123.2
ecom,horoshop,1300,MEDIUM,44,19.6,79.7
core-web,розробка сайтів,880,MEDIUM,53,40.2,146.3
core-web,розробка сайту,880,HIGH,67,74.0,209.6
types,landing page,880,LOW,32,11.2,53.6
core-web,створення сайту,720,HIGH,75,35.7,155.0
core-web,замовити сайт,590,MEDIUM,42,68.9,155.6
core-web,розробка сайту ціна,590,MEDIUM,45,59.8,154.9
ecom,хорошоп тарифи,590,MEDIUM,45,10.6,65.9
core-web,веб студія,390,MEDIUM,37,22.2,73.0
core-web,створення сайтів,390,MEDIUM,66,38.0,149.7
core-web,створення сайту ціна,390,MEDIUM,47,30.1,122.0
core-web,створення сайтів ціна,390,MEDIUM,47,30.1,122.0
ecom,створити інтернет магазин,390,LOW,19,43.3,145.6
core-web,розробка сайтів під ключ,260,MEDIUM,46,49.8,155.1
core-web,створення гугл сайтів,260,LOW,27,6.5,31.7
core-web,замовити розробку сайту,210,HIGH,75,64.6,142.7
core-web,створення сайтів під ключ,170,MEDIUM,60,61.1,149.7
core-web,створення сайту під ключ,170,MEDIUM,60,61.1,149.7
core-web,сервіси для створення сайтів,170,MEDIUM,36,0.0,0.0
types,лендінг сайт,170,HIGH,87,10.2,47.6
ecom,хорошоп відгуки,170,LOW,23,63.8,79.9
core-web,створити веб сайт,140,LOW,27,25.1,120.4
core-web,розробка сайтів ціна,140,LOW,21,39.9,120.5
core-web,створення веб сайту,140,HIGH,74,33.8,125.1
core-web,створення веб сайтів,140,HIGH,74,33.8,125.1
core-web,створити сайт ціна,110,LOW,31,20.9,106.3
core-web,замовити сайт ціна,110,LOW,24,50.1,155.5
core-web,google sites створити сайт,110,MEDIUM,43,7.2,25.5
core-web,сайт створення,110,HIGH,79,20.2,116.8
types,розробка лендінгу,110,HIGH,73,28.2,57.6
automation,автоматизація бізнесу,110,HIGH,80,24.9,109.0
ai,чат бот для сайту,110,LOW,21,40.1,64.7
core-web,створити свій сайт,90,MEDIUM,51,18.5,73.0
types,лендінг ціна,90,MEDIUM,48,14.1,40.1
ecom,створення інтернет магазину ціна,90,MEDIUM,56,44.7,98.5
ecom,horoshop ua,90,MEDIUM,65,15.8,79.9
automation,автоматизація бізнес процесів,90,MEDIUM,52,35.8,354.6
ai,ai автоматизація,90,MEDIUM,66,16.9,88.8
redesign,редизайн сайту,90,LOW,20,22.4,115.0
core-web,розробка веб сайтів,70,MEDIUM,58,54.6,121.1
core-web,виготовлення сайтів,70,HIGH,96,36.0,212.1
core-web,створити сайт для продажу,70,MEDIUM,43,26.6,74.5
core-web,розробка веб сайту,70,HIGH,84,96.7,202.7
core-web,вартість створення сайту,70,MEDIUM,34,35.7,99.4
core-web,замовити створення сайту,70,LOW,18,49.8,147.8
core-web,замовити веб сайт,70,LOW,9,50.1,146.9
core-web,розробка корпоративного сайту,70,MEDIUM,49,95.3,253.6
core-web,розробка сайту інтернет магазину,70,MEDIUM,64,100.3,357.9
core-web,розробка сайтів хмельницький,70,LOW,0,0.0,0.0
core-web,створення гугл сайту,70,MEDIUM,46,0.0,0.0
types,лендінг сторінка,70,MEDIUM,35,9.2,48.5
ecom,інтернет магазин створити,70,HIGH,81,43.0,123.4
core-web,сайт для створення сайтів,50,HIGH,78,23.8,60.3
core-web,замовити розкрутку сайту,50,LOW,2,0.0,0.0
core-web,розробка сайту візитки,50,MEDIUM,37,61.4,121.2
core-web,сайти для створення сайтів,50,HIGH,78,23.8,60.3
core-web,створення корпоративного сайту,50,LOW,29,52.2,127.6
types,створити лендінг,50,MEDIUM,45,23.3,79.4
types,створення лендінгу,50,HIGH,80,22.4,113.4
ecom,opencart 4,50,LOW,27,14.0,42.6
ecom,вартість створення інтернет магазину,50,HIGH,86,9.1,119.7
redesign,підтримка сайту,50,LOW,28,37.4,174.6
redesign,технічна підтримка сайту,50,MEDIUM,48,21.8,150.2
